example_id                                     | status  | run_time        |
./spec/resources/types_spec.rb[1:1:4]          | failed  | 0.00012 seconds |
./spec/resources/types_spec.rb[1:1:5]          | failed  | 0.0002 seconds  |
./spec/resources/types_spec.rb[1:2:1]          | failed  | 0.00006 seconds |
./spec/resources/types_spec.rb[1:2:2]          | failed  | 0.00013 seconds |
./spec/resources/types_spec.rb[1:2:3]          | failed  | 0.00012 seconds |
./spec/resources/types_spec.rb[1:2:4]          | failed  | 0.00142 seconds |
./spec/resources/types_spec.rb[1:2:5]          | failed  | 0.00014 seconds |
./spec/resources/types_spec.rb[1:3:1]          | passed  | 0.00007 seconds |
./spec/resources/types_spec.rb[1:3:2]          | passed  | 0.00004 seconds |
./spec/resources/types_spec.rb[1:3:3]          | passed  | 0.00005 seconds |
./spec/resources/types_spec.rb[1:3:4]          | passed  | 0.00008 seconds |
./spec/resources/types_spec.rb[1:4:1]          | failed  | 0.00004 seconds |
./spec/resources/types_spec.rb[1:4:2]          | failed  | 0.00003 seconds |
./spec/resources/types_spec.rb[1:5:1]          | passed  | 0.00008 seconds |
./spec/resources/types_spec.rb[1:5:2]          | passed  | 0.0001 seconds  |
./spec/resources/types_spec.rb[1:5:3]          | pending | 0.00003 seconds |
./spec/resources/types_spec.rb[1:6:1]          | pending | 0.00004 seconds |
